"","x"
"1208",438800
"1209",418500
"1210",428300
"1211",393700
"1212",375600
"1213",220000
"1214",252900
"1215",424400
"1216",397700
"1217",306500
"1218",448700
"1219",464800
"1220",186600
"1221",482200
"1222",491900
"1223",378200
"1224",266400
"1225",304400
"1226",398800
"1227",504500
"1228",218100
"1229",73000
"1230",437300
"1231",306800
"1232",777900
"1233",449100
"1234",190800
"1235",312200
"1236",516700
"1237",385900
"1238",194300
"1239",479100
"1240",340700
"1241",234400
"1242",340200
"1243",266800
"1244",573600
"1245",259200
"1246",563000
"1247",370900
"1248",169000
"1249",497000
"1250",225200
"1251",365000
"1252",284900
"1253",438300
"1254",272800
"1255",253400
"1256",316000
"1257",391800
"1258",294000
"1259",281200
"1260",481200
"1261",311400
"1262",227600
"1263",805100
"1264",373100
"1265",308300
"1266",274500
"1267",252100
"1268",348400
"1269",284100
"1270",307300
"1271",358600
"1272",382900
"1273",184600
"1274",423300
"1275",460000
"1276",254700
"1277",230600
"1278",524300
"1279",310000
"1280",336700
"1281",254400
"1282",256700
"1283",550100
"1284",918000
"1285",155200
"1286",422000
"1287",216200
"1288",239400
"1289",265200
"1290",332500
"1291",219000
"1292",301400
"1293",294000
"1294",255600
"1295",205800
"1296",452500
"1297",258100
"1298",347700
"1299",285200
"1300",874200
"1301",443100
"1302",238500
"1303",411800
"1304",348600
"1305",255000
"1306",330000
"1307",382600
"1308",355800
"1309",655700
"1310",172200
"1311",299900
"1312",428900
"1313",164700
"1314",460700
"1315",333500
"1316",388200
"1317",302900
"1318",294600
"1319",468600
"1320",368900
"1321",219200
"1322",232500
"1323",402700
"1324",579000
"1325",312200
"1326",551600
"1327",499400
"1328",259100
"1329",393200
"1330",1377300
"1331",344200
"1332",381300
"1333",617200
"1334",284000
"1335",294000
"1336",271100
"1337",231000
"1338",336800
"1339",343500
"1340",488700
"1341",164000
"1342",190000
"1343",525400
"1344",412000
"1345",477400
"1346",230800
"1347",388500
"1348",190000
"1349",271900
"1350",239800
"1351",281500
"1352",358100
"1353",393000
